phase,context_length,decode_steps,op_type,provider,profile_count,call_count,total_us,mean_us
decode,128,8,FusedMatMul,CPUExecutionProvider,3,624,14810.0,23.733974358974358
decode,128,8,Div,CPUExecutionProvider,3,1248,7352.0,5.891025641025641
decode,128,8,Equal,CPUExecutionProvider,3,1296,7146.0,5.513888888888889
decode,128,8,Neg,CPUExecutionProvider,3,1248,6492.0,5.201923076923077
decode,128,8,Tanh,CPUExecutionProvider,3,624,4218.0,6.759615384615385
decode,128,8,Softmax,CPUExecutionProvider,3,624,4206.0,6.740384615384615
decode,128,8,IsNaN,CPUExecutionProvider,3,624,3251.0,5.209935897435898
decode,128,8,And,CPUExecutionProvider,3,144,828.0,5.75
decode,128,8,Range,CPUExecutionProvider,3,72,360.0,5.0
decode,128,8,Cast,CPUExecutionProvider,3,48,271.0,5.645833333333333
decode,128,8,Sin,CPUExecutionProvider,3,48,259.0,5.395833333333333
decode,128,8,Cos,CPUExecutionProvider,3,48,245.0,5.104166666666667
decode,128,8,Greater,CPUExecutionProvider,3,24,143.0,5.958333333333333
decode,128,8,Sub,CPUExecutionProvider,3,24,141.0,5.875
decode,128,8,LessOrEqual,CPUExecutionProvider,3,24,120.0,5.0
decode,128,8,Flatten,CPUExecutionProvider,3,24,107.0,4.458333333333333
prefill,512,0,MatMul,CPUExecutionProvider,3,633,1823128.0,2880.139020537125
prefill,512,0,Mul,CPUExecutionProvider,3,1020,393346.0,385.6333333333333
prefill,512,0,Add,CPUExecutionProvider,3,555,86877.0,156.53513513513514
prefill,512,0,Where,CPUExecutionProvider,3,318,72274.0,227.27672955974842
prefill,512,0,SimplifiedLayerNormalization,CPUExecutionProvider,3,471,48010.0,101.93205944798301
prefill,512,0,FusedMatMul,CPUExecutionProvider,3,78,24470.0,313.71794871794873
prefill,512,0,Concat,CPUExecutionProvider,3,795,13490.0,16.968553459119498
prefill,512,0,Transpose,CPUExecutionProvider,3,318,11108.0,34.930817610062896
prefill,512,0,Slice,CPUExecutionProvider,3,390,11044.0,28.317948717948717
prefill,512,0,Expand,CPUExecutionProvider,3,168,10270.0,61.13095238095238
prefill,512,0,IsNaN,CPUExecutionProvider,3,78,8930.0,114.48717948717949
prefill,512,0,Tanh,CPUExecutionProvider,3,78,8196.0,105.07692307692308
prefill,512,0,Unsqueeze,CPUExecutionProvider,3,1377,7651.0,5.556281771968046
prefill,512,0,Gather,CPUExecutionProvider,3,1038,6836.0,6.585741811175337
prefill,512,0,Reshape,CPUExecutionProvider,3,636,3884.0,6.1069182389937104
prefill,512,0,Softmax,CPUExecutionProvider,3,78,2925.0,37.5
prefill,512,0,Shape,CPUExecutionProvider,3,486,2837.0,5.837448559670782
prefill,512,0,Neg,CPUExecutionProvider,3,156,2561.0,16.416666666666668
prefill,512,0,Sin,CPUExecutionProvider,3,6,1178.0,196.33333333333334
prefill,512,0,Div,CPUExecutionProvider,3,156,1174.0,7.5256410256410255
prefill,512,0,Cos,CPUExecutionProvider,3,6,1166.0,194.33333333333334
prefill,512,0,Equal,CPUExecutionProvider,3,162,1094.0,6.753086419753086
